CustomerID,CustomerName,OrderID,Cost,MenuID,Course,Starter
00-090-3491,"Bradford Rafe",65-311-3002,320.00,48,Pizza,Hummus
00-090-3491,"Bradford Rafe",65-311-3002,168.27,48,Pizza,Hummus
00-090-3491,"Bradford Rafe",65-311-3002,190.00,48,Pizza,Hummus
00-090-3491,"Bradford Rafe",65-311-3002,310.00,48,Pizza,Hummus
00-090-3491,"Bradford Rafe",65-311-3002,320.00,48,Pizza,Hummus
00-090-3491,"Bradford Rafe",65-311-3002,168.27,48,Pizza,Hummus
00-090-3491,"Bradford Rafe",65-311-3002,190.00,48,Pizza,Hummus
00-090-3491,"Bradford Rafe",65-311-3002,310.00,48,Pizza,Hummus
00-352-9063,"Sharon Lazare",53-925-0103,235.00,39,Shwarma,Minestrone
00-352-9063,"Sharon Lazare",53-925-0103,225.00,39,Shwarma,Minestrone
00-352-9063,"Sharon Lazare",53-925-0103,210.00,39,Shwarma,Minestrone
00-352-9063,"Sharon Lazare",53-925-0103,220.00,39,Shwarma,Minestrone
00-352-9063,"Sharon Lazare",53-925-0103,235.00,39,Shwarma,Minestrone
00-352-9063,"Sharon Lazare",53-925-0103,225.00,39,Shwarma,Minestrone
00-352-9063,"Sharon Lazare",53-925-0103,210.00,39,Shwarma,Minestrone
00-352-9063,"Sharon Lazare",53-925-0103,220.00,39,Shwarma,Minestrone
00-381-6823,"Eba Harriagn",64-569-9390,168.27,64,Pizza,"Tomato bread"
00-381-6823,"Eba Harriagn",64-569-9390,190.00,64,Pizza,"Tomato bread"
00-381-6823,"Eba Harriagn",64-569-9390,310.00,64,Pizza,"Tomato bread"
00-381-6823,"Eba Harriagn",64-569-9390,320.00,64,Pizza,"Tomato bread"
00-381-6823,"Eba Harriagn",64-569-9390,168.27,64,Pizza,"Tomato bread"
00-381-6823,"Eba Harriagn",64-569-9390,190.00,64,Pizza,"Tomato bread"
00-381-6823,"Eba Harriagn",64-569-9390,310.00,64,Pizza,"Tomato bread"
00-435-7006,"Silas Asson",11-835-2932,235.00,60,Carbonara,Hummus
00-435-7006,"Silas Asson",11-835-2932,225.00,60,Carbonara,Hummus
00-435-7006,"Silas Asson",11-835-2932,210.00,60,Carbonara,Hummus
00-435-7006,"Silas Asson",11-835-2932,220.00,60,Carbonara,Hummus
00-435-7006,"Silas Asson",11-835-2932,235.00,60,Carbonara,Hummus
00-435-7006,"Silas Asson",11-835-2932,225.00,60,Carbonara,Hummus
00-435-7006,"Silas Asson",11-835-2932,210.00,60,Carbonara,Hummus
00-435-7006,"Silas Asson",11-835-2932,220.00,60,Carbonara,Hummus
00-689-5519,"Jill O'Sirin",67-961-1567,168.27,62,"Greek salad",Flatbread
00-689-5519,"Jill O'Sirin",67-961-1567,190.00,62,"Greek salad",Flatbread
00-689-5519,"Jill O'Sirin",67-961-1567,310.00,62,"Greek salad",Flatbread
00-689-5519,"Jill O'Sirin",67-961-1567,320.00,62,"Greek salad",Flatbread
00-689-5519,"Jill O'Sirin",67-961-1567,168.27,62,"Greek salad",Flatbread
00-689-5519,"Jill O'Sirin",67-961-1567,190.00,62,"Greek salad",Flatbread
00-689-5519,"Jill O'Sirin",67-961-1567,310.00,62,"Greek salad",Flatbread
00-689-5519,"Jill O'Sirin",67-961-1567,320.00,62,"Greek salad",Flatbread
00-806-0662,"Melisse Southeran",56-184-4508,225.00,56,Shwarma,Flatbread
00-806-0662,"Melisse Southeran",56-184-4508,210.00,56,Shwarma,Flatbread
00-806-0662,"Melisse Southeran",56-184-4508,220.00,56,Shwarma,Flatbread
00-806-0662,"Melisse Southeran",56-184-4508,235.00,56,Shwarma,Flatbread
00-806-0662,"Melisse Southeran",56-184-4508,225.00,56,Shwarma,Flatbread
00-806-0662,"Melisse Southeran",56-184-4508,210.00,56,Shwarma,Flatbread
00-806-0662,"Melisse Southeran",56-184-4508,220.00,56,Shwarma,Flatbread
00-806-0662,"Melisse Southeran",56-184-4508,235.00,56,Shwarma,Flatbread
00-896-7289,"Felix Ouver",98-646-1456,225.00,65,Carbonara,Falafel
00-896-7289,"Felix Ouver",98-646-1456,210.00,65,Carbonara,Falafel
00-896-7289,"Felix Ouver",98-646-1456,220.00,65,Carbonara,Falafel
00-896-7289,"Felix Ouver",98-646-1456,235.00,65,Carbonara,Falafel
00-896-7289,"Felix Ouver",98-646-1456,225.00,65,Carbonara,Falafel
00-896-7289,"Felix Ouver",98-646-1456,210.00,65,Carbonara,Falafel
00-896-7289,"Felix Ouver",98-646-1456,220.00,65,Carbonara,Falafel
00-896-7289,"Felix Ouver",98-646-1456,235.00,65,Carbonara,Falafel
00-988-1489,"Alard Briat",55-263-8669,320.00,46,"Greek salad","Tomato bread"
00-988-1489,"Alard Briat",55-263-8669,168.27,46,"Greek salad","Tomato bread"
00-988-1489,"Alard Briat",55-263-8669,190.00,46,"Greek salad","Tomato bread"
00-988-1489,"Alard Briat",55-263-8669,310.00,46,"Greek salad","Tomato bread"
00-988-1489,"Alard Briat",55-263-8669,320.00,46,"Greek salad","Tomato bread"
00-988-1489,"Alard Briat",55-263-8669,168.27,46,"Greek salad","Tomato bread"
00-988-1489,"Alard Briat",55-263-8669,190.00,46,"Greek salad","Tomato bread"
00-988-1489,"Alard Briat",55-263-8669,310.00,46,"Greek salad","Tomato bread"
01-010-4453,"Norby Foord",27-295-8802,235.00,65,Carbonara,Falafel
01-010-4453,"Norby Foord",27-295-8802,225.00,65,Carbonara,Falafel
01-010-4453,"Norby Foord",27-295-8802,210.00,65,Carbonara,Falafel
01-010-4453,"Norby Foord",27-295-8802,220.00,65,Carbonara,Falafel
01-010-4453,"Norby Foord",27-295-8802,235.00,65,Carbonara,Falafel
01-010-4453,"Norby Foord",27-295-8802,225.00,65,Carbonara,Falafel
01-010-4453,"Norby Foord",27-295-8802,210.00,65,Carbonara,Falafel
01-169-3967,"Susette O'Neil",10-370-7784,320.00,35,"Greek salad",Falafel
01-169-3967,"Susette O'Neil",10-370-7784,168.27,35,"Greek salad",Falafel
01-169-3967,"Susette O'Neil",10-370-7784,190.00,35,"Greek salad",Falafel
01-169-3967,"Susette O'Neil",10-370-7784,310.00,35,"Greek salad",Falafel
01-169-3967,"Susette O'Neil",10-370-7784,320.00,35,"Greek salad",Falafel
01-169-3967,"Susette O'Neil",10-370-7784,168.27,35,"Greek salad",Falafel
01-169-3967,"Susette O'Neil",10-370-7784,190.00,35,"Greek salad",Falafel
01-169-3967,"Susette O'Neil",10-370-7784,310.00,35,"Greek salad",Falafel
01-560-0809,"Klement Brothwell",82-090-4450,225.00,43,Carbonara,Olives
01-560-0809,"Klement Brothwell",82-090-4450,210.00,43,Carbonara,Olives
01-560-0809,"Klement Brothwell",82-090-4450,220.00,43,Carbonara,Olives
01-560-0809,"Klement Brothwell",82-090-4450,235.00,43,Carbonara,Olives
01-560-0809,"Klement Brothwell",82-090-4450,225.00,43,Carbonara,Olives
01-560-0809,"Klement Brothwell",82-090-4450,210.00,43,Carbonara,Olives
01-560-0809,"Klement Brothwell",82-090-4450,220.00,43,Carbonara,Olives
01-560-0809,"Klement Brothwell",82-090-4450,235.00,43,Carbonara,Olives
01-608-1032,"Ezequiel Benion",11-821-0545,168.27,20,Pizza,Flatbread
01-608-1032,"Ezequiel Benion",11-821-0545,190.00,20,Pizza,Flatbread
01-608-1032,"Ezequiel Benion",11-821-0545,310.00,20,Pizza,Flatbread
01-608-1032,"Ezequiel Benion",11-821-0545,320.00,20,Pizza,Flatbread
01-608-1032,"Ezequiel Benion",11-821-0545,168.27,20,Pizza,Flatbread
01-608-1032,"Ezequiel Benion",11-821-0545,190.00,20,Pizza,Flatbread
01-608-1032,"Ezequiel Benion",11-821-0545,310.00,20,Pizza,Flatbread
01-608-1032,"Ezequiel Benion",11-821-0545,320.00,20,Pizza,Flatbread
01-646-4719,"Christoper Myrkus",64-427-6469,168.27,57,"Greek salad",Minestrone
01-646-4719,"Christoper Myrkus",64-427-6469,190.00,57,"Greek salad",Minestrone
01-646-4719,"Christoper Myrkus",64-427-6469,310.00,57,"Greek salad",Minestrone
01-646-4719,"Christoper Myrkus",64-427-6469,320.00,57,"Greek salad",Minestrone
01-646-4719,"Christoper Myrkus",64-427-6469,168.27,57,"Greek salad",Minestrone
01-646-4719,"Christoper Myrkus",64-427-6469,190.00,57,"Greek salad",Minestrone
01-646-4719,"Christoper Myrkus",64-427-6469,310.00,57,"Greek salad",Minestrone
01-646-4719,"Christoper Myrkus",64-427-6469,320.00,57,"Greek salad",Minestrone
01-864-9695,"Tatiania O'Crigane",53-494-9541,190.00,16,Kabasa,"Tomato bread"
01-864-9695,"Tatiania O'Crigane",53-494-9541,310.00,16,Kabasa,"Tomato bread"
01-864-9695,"Tatiania O'Crigane",53-494-9541,320.00,16,Kabasa,"Tomato bread"
01-864-9695,"Tatiania O'Crigane",53-494-9541,168.27,16,Kabasa,"Tomato bread"
01-864-9695,"Tatiania O'Crigane",53-494-9541,190.00,16,Kabasa,"Tomato bread"
01-864-9695,"Tatiania O'Crigane",53-494-9541,310.00,16,Kabasa,"Tomato bread"
01-864-9695,"Tatiania O'Crigane",53-494-9541,320.00,16,Kabasa,"Tomato bread"
01-882-3064,"Adrianne Freeland",33-207-9048,225.00,15,Carbonara,Minestrone
01-882-3064,"Adrianne Freeland",33-207-9048,210.00,15,Carbonara,Minestrone
01-882-3064,"Adrianne Freeland",33-207-9048,220.00,15,Carbonara,Minestrone
01-882-3064,"Adrianne Freeland",33-207-9048,235.00,15,Carbonara,Minestrone
01-882-3064,"Adrianne Freeland",33-207-9048,225.00,15,Carbonara,Minestrone
01-882-3064,"Adrianne Freeland",33-207-9048,210.00,15,Carbonara,Minestrone
01-882-3064,"Adrianne Freeland",33-207-9048,220.00,15,Carbonara,Minestrone
01-889-1994,"Marchelle Annes",66-276-1471,168.27,53,Pizza,Falafel
01-889-1994,"Marchelle Annes",66-276-1471,190.00,53,Pizza,Falafel
01-889-1994,"Marchelle Annes",66-276-1471,310.00,53,Pizza,Falafel
01-889-1994,"Marchelle Annes",66-276-1471,320.00,53,Pizza,Falafel
01-889-1994,"Marchelle Annes",66-276-1471,168.27,53,Pizza,Falafel
01-889-1994,"Marchelle Annes",66-276-1471,190.00,53,Pizza,Falafel
01-889-1994,"Marchelle Annes",66-276-1471,310.00,53,Pizza,Falafel
01-889-1994,"Marchelle Annes",66-276-1471,320.00,53,Pizza,Falafel
01-905-4730,"Rhody Dobbin",55-932-3347,225.00,32,Carbonara,Flatbread
01-905-4730,"Rhody Dobbin",55-932-3347,210.00,32,Carbonara,Flatbread
01-905-4730,"Rhody Dobbin",55-932-3347,220.00,32,Carbonara,Flatbread
01-905-4730,"Rhody Dobbin",55-932-3347,235.00,32,Carbonara,Flatbread
01-905-4730,"Rhody Dobbin",55-932-3347,225.00,32,Carbonara,Flatbread
01-905-4730,"Rhody Dobbin",55-932-3347,210.00,32,Carbonara,Flatbread
01-905-4730,"Rhody Dobbin",55-932-3347,220.00,32,Carbonara,Flatbread
01-905-4730,"Rhody Dobbin",55-932-3347,235.00,32,Carbonara,Flatbread
02-063-5381,"Elora Eliesco",29-600-8355,235.00,2,"Bean soup",Flatbread
02-063-5381,"Elora Eliesco",29-600-8355,225.00,2,"Bean soup",Flatbread
02-063-5381,"Elora Eliesco",29-600-8355,210.00,2,"Bean soup",Flatbread
02-063-5381,"Elora Eliesco",29-600-8355,220.00,2,"Bean soup",Flatbread
02-063-5381,"Elora Eliesco",29-600-8355,235.00,2,"Bean soup",Flatbread
02-063-5381,"Elora Eliesco",29-600-8355,225.00,2,"Bean soup",Flatbread
02-063-5381,"Elora Eliesco",29-600-8355,210.00,2,"Bean soup",Flatbread
02-156-3419,"Reg Lepper",61-622-8419,320.00,59,Pizza,Falafel
02-156-3419,"Reg Lepper",61-622-8419,190.00,59,Pizza,Falafel
02-156-3419,"Reg Lepper",61-622-8419,168.27,59,Pizza,Falafel
02-156-3419,"Reg Lepper",61-622-8419,310.00,59,Pizza,Falafel
02-156-3419,"Reg Lepper",61-622-8419,320.00,59,Pizza,Falafel
02-156-3419,"Reg Lepper",61-622-8419,168.27,59,Pizza,Falafel
02-156-3419,"Reg Lepper",61-622-8419,190.00,59,Pizza,Falafel
02-565-4368,"Olly Dobbinson",31-404-5047,225.00,71,Carbonara,Falafel
02-565-4368,"Olly Dobbinson",31-404-5047,210.00,71,Carbonara,Falafel
02-565-4368,"Olly Dobbinson",31-404-5047,220.00,71,Carbonara,Falafel
